,tipo_grafo,N,params,seed,num_arestas,densidade,clustering_medio,assortatividade,conectado,caminho_medio,diametro
0,ER,300,{'p': 0.01},1,490,0.01092530657748049,0.014761904761904763,-0.09258650698019645,False,4.739619628339141,9
1,ER,300,{'p': 0.05},1,2314,0.051594202898550726,0.05466673015143872,0.0066775480410247836,True,2.378216276477146,4
2,ER,300,{'p': 0.1},1,4550,0.10144927536231885,0.10481395952812847,-0.0093563200966005,True,1.938706800445931,3
3,WS,300,"{'k': 6, 'p': 0.01}",1,900,0.020066889632107024,0.5821428571428572,-0.03876831756626121,True,11.414804905239688,25
4,WS,300,"{'k': 6, 'p': 0.1}",1,900,0.020066889632107024,0.45798941798941795,-0.011152162681194495,True,5.005908584169454,9
5,WS,300,"{'k': 6, 'p': 0.5}",1,900,0.020066889632107024,0.09902910052910054,-0.07104522190937022,True,3.5292084726867334,6
6,BA,300,{'m': 1},1,299,0.006666666666666667,0.0,-0.18328385820989945,True,5.740557413600892,14
7,BA,300,{'m': 2},1,596,0.013288740245261985,0.04944427506424771,-0.13169218337667227,True,3.567870680044593,6
8,BA,300,{'m': 4},1,1184,0.026399108138238574,0.08756256774949393,-0.11710536525073047,True,2.7603121516164992,5
9,ER,300,{'p': 0.01},2,446,0.009944258639910815,0.014206349206349207,-0.0135353333997813,False,5.224921420043371,11
10,ER,300,{'p': 0.05},2,2255,0.05027870680044593,0.04806402925332795,-0.009339980749958147,True,2.3987290969899666,4
11,ER,300,{'p': 0.1},2,4434,0.0988628762541806,0.09977328149187777,-0.004500099121392856,True,1.9507915273132665,3
12,WS,300,"{'k': 6, 'p': 0.01}",2,900,0.020066889632107024,0.5819444444444444,0.012568773294234625,True,10.811817168338907,26
13,WS,300,"{'k': 6, 'p': 0.1}",2,900,0.020066889632107024,0.4399074074074074,-0.01958276115051739,True,4.803210702341137,9
14,WS,300,"{'k': 6, 'p': 0.5}",2,900,0.020066889632107024,0.08432491582491583,-0.10698545997154575,True,3.4909921962095876,6
15,BA,300,{'m': 1},2,299,0.006666666666666667,0.0,-0.15431720451033093,True,5.758907469342252,14
16,BA,300,{'m': 2},2,596,0.013288740245261985,0.0746803329047911,-0.15639760328048302,True,3.5051505016722406,7
17,BA,300,{'m': 4},2,1184,0.026399108138238574,0.08005118964477759,-0.09358943216247993,True,2.7889409141583053,5
18,ER,300,{'p': 0.01},3,494,0.011014492753623189,0.021481481481481483,0.027326327698364915,False,4.884993224932249,13
19,ER,300,{'p': 0.05},3,2212,0.049319955406911926,0.048047451428835194,0.01195248954613482,True,2.413132664437012,4
20,ER,300,{'p': 0.1},3,4482,0.09993311036789297,0.09985698085874756,0.004316766663851725,True,1.94396878483835,3
21,WS,300,"{'k': 6, 'p': 0.01}",3,900,0.020066889632107024,0.5887460317460317,-0.06765523632987795,True,16.571928651059086,38
22,WS,300,"{'k': 6, 'p': 0.1}",3,900,0.020066889632107024,0.4303571428571429,0.043956043956028756,True,4.7271125975473804,8
23,WS,300,"{'k': 6, 'p': 0.5}",3,900,0.020066889632107024,0.06696777296777297,-0.06530567800062086,True,3.46,6
