model,N,M,C_global,C_avg,L,D,Assortativity,is_connected,seed,p,k,m
ER,2888,3052,0.00046882325363338024,0.0005193905817174516,9.892913454630529,23,0.042514967305633276,False,0,0.0007150690793671508,,
WS,2888,2888,0.0,0.0,143.6838406662016,378,-0.0472932289671036,False,0,0.1,2.0,
BA,2888,2887,0.0,0.0,7.885650835198765,19,-0.07595810073724701,True,0,,,"{'model': 'BA', 'N': 2888, 'M': 2887, 'C_global': 0, 'C_avg': 0.0, 'L': 7.885650835198765, 'D': 19, 'Assortativity': -0.07595810073724701, 'is_connected': True, 'seed': 0, 'p': nan, 'k': nan, 'm': {...}}"
ER,2888,2967,0.0,0.0,10.431300305002996,25,0.0075686388320218454,False,1,0.0007150690793671508,,
WS,2888,2888,0.0,0.0,112.24406258742196,320,-0.05570890958257296,False,1,0.1,2.0,
ER,2888,2916,0.0,0.0,10.288666316021143,28,0.008316307897314319,False,2,0.0007150690793671508,,
WS,2888,2888,0.0,0.0,102.15518119744547,315,-0.019963847603209704,False,2,0.1,2.0,
ER,2888,2981,0.0014310701224359993,0.0006982917820867959,10.16858013673623,27,-0.019556996181194223,False,3,0.0007150690793671508,,
WS,2888,2888,0.0,0.0,145.44140017262097,382,-0.06246553266146626,False,3,0.1,2.0,
ER,2888,2989,0.0,0.0,10.26502031925289,27,-0.007182767352698094,False,4,0.0007150690793671508,,
WS,2888,2888,0.0,0.0,113.0774145635176,320,-0.04026689684627827,True,4,0.1,2.0,
